     x              y              y-prima
   1.00000000       2.00000000      -3.00000000    
   1.00500000       1.98495257      -3.01895785    
   1.00999999       1.96981061      -3.03782868    
   1.01499999       1.95457447      -3.05660844    
   1.01999998       1.93924463      -3.07529306    
   1.02499998       1.92382169      -3.09387851    
   1.02999997       1.90830600      -3.11236072    
   1.03499997       1.89269817      -3.13073564    
   1.03999996       1.87699878      -3.14899898    
   1.04499996       1.86120832      -3.16714668    
   1.04999995       1.84532750      -3.18517470    
   1.05499995       1.82935679      -3.20307899    
   1.05999994       1.81329691      -3.22085547    
   1.06500006       1.79714847      -3.23849988    
   1.07000005       1.78091216      -3.25600815    
   1.07500005       1.76458859      -3.27337599    
   1.08000004       1.74817860      -3.29059958    
   1.08500004       1.73168290      -3.30767465    
   1.09000003       1.71510220      -3.32459712    
   1.09500003       1.69843721      -3.34136295    
   1.10000002       1.68168879      -3.35796809    
   1.10500002       1.66485775      -3.37440848    
   1.11000001       1.64794493      -3.39068007    
   1.11500001       1.63095117      -3.40677905    
   1.12000000       1.61387742      -3.42270112    
   1.12500000       1.59672451      -3.43844247    
   1.13000000       1.57949328      -3.45399928    
   1.13499999       1.56218481      -3.46936727    
   1.13999999       1.54479992      -3.48454285    
   1.14499998       1.52733970      -3.49952221    
   1.14999998       1.50980508      -3.51430130    
   1.15499997       1.49219704      -3.52887654    
   1.15999997       1.47451663      -3.54324389    
   1.16499996       1.45676494      -3.55739999    
   1.16999996       1.43894303      -3.57134104    
   1.17499995       1.42105198      -3.58506322    
   1.17999995       1.40309286      -3.59856319    
   1.18499994       1.38506675      -3.61183739    
   1.18999994       1.36697483      -3.62488222    
   1.19500005       1.34881830      -3.63769436    
   1.20000005       1.33059824      -3.65027022    
   1.20500004       1.31231594      -3.66260672    
   1.21000004       1.29397261      -3.67470050    
   1.21500003       1.27556944      -3.68654823    
   1.22000003       1.25710762      -3.69814682    
   1.22500002       1.23858845      -3.70949340    
   1.23000002       1.22001314      -3.72058463    
   1.23500001       1.20138299      -3.73141766    
   1.24000001       1.18269932      -3.74198961    
   1.24500000       1.16396344      -3.75229764    
   1.25000000       1.14517677      -3.76233888    
   1.25500000       1.12634051      -3.77211070    
   1.25999999       1.10745609      -3.78161049    
   1.26499999       1.08852482      -3.79083586    
   1.26999998       1.06954813      -3.79978418    
   1.27499998       1.05052745      -3.80845308    
   1.27999997       1.03146410      -3.81684017    
   1.28499997       1.01235950      -3.82494330    
   1.28999996      0.993215144      -3.83276010    
   1.29499996      0.974032402      -3.84028864    
   1.29999995      0.954812765      -3.84752703    
   1.30499995      0.935557663      -3.85447311    
   1.30999994      0.916268528      -3.86112523    
   1.31499994      0.896946907      -3.86748171    
   1.31999993      0.877594233      -3.87354064    
   1.32500005      0.858211994      -3.87930059    
   1.33000004      0.838801742      -3.88476014    
   1.33500004      0.819364905      -3.88991785    
   1.34000003      0.799903035      -3.89477229    
   1.34500003      0.780417681      -3.89932251    
   1.35000002      0.760910332      -3.90356708    
   1.35500002      0.741382539      -3.90750504    
   1.36000001      0.721835792      -3.91113544    
   1.36500001      0.702271700      -3.91445756    
   1.37000000      0.682691753      -3.91747046    
   1.37500000      0.663097501      -3.92017365    
   1.38000000      0.643490493      -3.92256641    
   1.38499999      0.623872340      -3.92464828    
   1.38999999      0.604244530      -3.92641878    
   1.39499998      0.584608674      -3.92787766    
   1.39999998      0.564966261      -3.92902470    
   1.40499997      0.545318902      -3.92985988    
   1.40999997      0.525668144      -3.93038297    
   1.41499996      0.506015599      -3.93059421    
   1.41999996      0.486362755      -3.93049359    
   1.42499995      0.466711193      -3.93008161    
   1.42999995      0.447062463      -3.92935848    
   1.43499994      0.427418113      -3.92832446    
   1.43999994      0.407779723      -3.92698026    
   1.44499993      0.388148844      -3.92532635    
   1.45000005      0.368526995      -3.92336345    
   1.45500004      0.348915726      -3.92109227    
   1.46000004      0.329316586      -3.91851377    
   1.46500003      0.309731096      -3.91562891    
   1.47000003      0.290160805      -3.91243863    
   1.47500002      0.270607233      -3.90894413    
   1.48000002      0.251071870      -3.90514660    
   1.48500001      0.231556267      -3.90104723    
   1.49000001      0.212061912      -3.89664745    
   1.49500000      0.192590296      -3.89194870    
   1.50000000      0.173142925      -3.88695240    
   1.50500000      0.153721273      -3.88166022    
   1.50999999      0.134326816      -3.87607384    
