     x              y              y-prima
   1.00000000       2.00000000      -2.01606226    
   1.00500000       1.98989189      -2.02717185    
   1.00999999       1.97972834      -2.03824234    
   1.01499999       1.96950948      -2.04927206    
   1.01999998       1.95923567      -2.06025934    
   1.02499998       1.94890702      -2.07120228    
   1.02999997       1.93852377      -2.08209944    
   1.03499997       1.92808616      -2.09294915    
   1.03999996       1.91759443      -2.10374951    
   1.04499996       1.90704882      -2.11449885    
   1.04999995       1.89644957      -2.12519550    
   1.05499995       1.88579690      -2.13583779    
   1.05999994       1.87509120      -2.14642382    
   1.06500006       1.86433268      -2.15695214    
   1.07000005       1.85352170      -2.16742086    
   1.07500005       1.84265852      -2.17782807    
   1.08000004       1.83174348      -2.18817234    
   1.08500004       1.82077694      -2.19845176    
   1.09000003       1.80975914      -2.20866442    
   1.09500003       1.79869044      -2.21880889    
   1.10000002       1.78757119      -2.22888327    
   1.10500002       1.77640176      -2.23888588    
   1.11000001       1.76518250      -2.24881482    
   1.11500001       1.75391376      -2.25866842    
   1.12000000       1.74259591      -2.26844501    
   1.12500000       1.73122942      -2.27814293    
   1.13000000       1.71981466      -2.28776026    
   1.13499999       1.70835197      -2.29729557    
   1.13999999       1.69684184      -2.30674696    
   1.14499998       1.68528461      -2.31611252    
   1.14999998       1.67368078      -2.32539082    
   1.15499997       1.66203082      -2.33457994    
   1.15999997       1.65033507      -2.34367847    
   1.16499996       1.63859415      -2.35268450    
   1.16999996       1.62680840      -2.36159635    
   1.17499995       1.61497831      -2.37041259    
   1.17999995       1.60310447      -2.37913132    
   1.18499994       1.59118724      -2.38775086    
   1.18999994       1.57922709      -2.39626980    
   1.19500005       1.56722462      -2.40468645    
   1.20000005       1.55518031      -2.41299915    
   1.20500004       1.54309475      -2.42120624    
   1.21000004       1.53096843      -2.42930603    
   1.21500003       1.51880193      -2.43729711    
   1.22000003       1.50659573      -2.44517779    
   1.22500002       1.49435031      -2.45294666    
   1.23000002       1.48206639      -2.46060228    
   1.23500001       1.46974444      -2.46814299    
   1.24000001       1.45738506      -2.47556710    
