     x              y              y-prima
   1.00000000       2.00000000      -2.03903937    
   1.00500000       1.98977661      -2.05033231    
   1.00999999       1.97949684      -2.06158566    
   1.01499999       1.96916091      -2.07279754    
   1.01999998       1.95876896      -2.08396602    
   1.02499998       1.94832134      -2.09508967    
   1.02999997       1.93781817      -2.10616660    
   1.03499997       1.92725980      -2.11719513    
   1.03999996       1.91664636      -2.12817359    
   1.04499996       1.90597820      -2.13910007    
   1.04999995       1.89525545      -2.14997268    
   1.05499995       1.88447857      -2.16078997    
   1.05999994       1.87364769      -2.17155004    
   1.06500006       1.86276317      -2.18225098    
   1.07000005       1.85182524      -2.19289112    
   1.07500005       1.84083426      -2.20346856    
   1.08000004       1.82979059      -2.21398163    
   1.08500004       1.81869459      -2.22442865    
   1.09000003       1.80754650      -2.23480773    
   1.09500003       1.79634666      -2.24511719    
   1.10000002       1.78509545      -2.25535512    
   1.10500002       1.77379322      -2.26551962    
   1.11000001       1.76244032      -2.27560902    
   1.11500001       1.75103724      -2.28562164    
   1.12000000       1.73958421      -2.29555559    
   1.12500000       1.72808170      -2.30540919    
   1.13000000       1.71653020      -2.31518054    
   1.13499999       1.70493007      -2.32486796    
   1.13999999       1.69328165      -2.33446956    
   1.14499998       1.68158543      -2.34398389    
   1.14999998       1.66984189      -2.35340881    
   1.15499997       1.65805149      -2.36274290    
   1.15999997       1.64621460      -2.37198424    
   1.16499996       1.63433182      -2.38113117    
   1.16999996       1.62240350      -2.39018202    
   1.17499995       1.61043012      -2.39913487    
   1.17999995       1.59841228      -2.40798831    
   1.18499994       1.58635044      -2.41674042    
   1.18999994       1.57424510      -2.42538953    
   1.19500005       1.56209671      -2.43393421    
   1.20000005       1.54990590      -2.44237256    
   1.20500004       1.53767312      -2.45070314    
   1.21000004       1.52539897      -2.45892406    
   1.21500003       1.51308405      -2.46703386    
   1.22000003       1.50072885      -2.47503090    
   1.22500002       1.48833394      -2.48291373    
   1.23000002       1.47589993      -2.49068069    
   1.23500001       1.46342731      -2.49833012    
   1.24000001       1.45091677      -2.50586081    
   1.24500000       1.43836892      -2.51327085    
   1.25000000       1.42578435      -2.52055907    
   1.25500000       1.41316354      -2.52772379    
   1.25999999       1.40050733      -2.53476357    
   1.26499999       1.38781619      -2.54167700    
   1.26999998       1.37509084      -2.54846263    
   1.27499998       1.36233187      -2.55511904    
   1.27999997       1.34953988      -2.56164503    
   1.28499997       1.33671558      -2.56803894    
   1.28999996       1.32385969      -2.57429981    
   1.29499996       1.31097281      -2.58042598    
   1.29999995       1.29805565      -2.58641648    
   1.30499995       1.28510892      -2.59226990    
   1.30999994       1.27213323      -2.59798479    
   1.31499994       1.25912929      -2.60356021    
   1.31999993       1.24609780      -2.60899496    
   1.32500005       1.23303950      -2.61428761    
   1.33000004       1.21995509      -2.61943746    
   1.33500004       1.20684528      -2.62444305    
   1.34000003       1.19371080      -2.62930346    
   1.34500003       1.18055248      -2.63401747    
   1.35000002       1.16737092      -2.63858414    
   1.35500002       1.15416694      -2.64300251    
   1.36000001       1.14094114      -2.64727163    
   1.36500001       1.12769437      -2.65139055    
   1.37000000       1.11442745      -2.65535831    
   1.37500000       1.10114110      -2.65917397    
   1.38000000       1.08783603      -2.66283679    
   1.38499999       1.07451296      -2.66634607    
   1.38999999       1.06117272      -2.66970086    
   1.39499998       1.04781616      -2.67290020    
   1.39999998       1.03444397      -2.67594361    
   1.40499997       1.02105701      -2.67883039    
   1.40999997       1.00765598      -2.68155980    
   1.41499996      0.994241714      -2.68413115    
   1.41999996      0.980814934      -2.68654394    
   1.42499995      0.967376530      -2.68879747    
   1.42999995      0.953927219      -2.69089150    
   1.43499994      0.940467834      -2.69282508    
   1.43999994      0.926999211      -2.69459796    
   1.44499993      0.913522124      -2.69620991    
   1.45000005      0.900037408      -2.69766021    
   1.45500004      0.886545837      -2.69894862    
   1.46000004      0.873048186      -2.70007467    
   1.46500003      0.859545350      -2.70103812    
   1.47000003      0.846038103      -2.70183873    
   1.47500002      0.832527220      -2.70247626    
   1.48000002      0.819013596      -2.70295048    
   1.48500001      0.805498004      -2.70326114    
   1.49000001      0.791981280      -2.70340800    
   1.49500000      0.778464198      -2.70339108    
   1.50000000      0.764947653      -2.70321035    
   1.50500000      0.751432419      -2.70286584    
   1.50999999      0.737919271      -2.70235729    
   1.51499999      0.724409103      -2.70168471    
   1.51999998      0.710902691      -2.70084834    
   1.52499998      0.697400868      -2.69984818    
   1.52999997      0.683904469      -2.69868445    
   1.53499997      0.670414269      -2.69735718    
   1.53999996      0.656931162      -2.69586635    
   1.54499996      0.643455923      -2.69421244    
