     x              y              y-prima
   1.00000000       2.00000000      -1.87293696    
   1.00500000       1.99061036      -1.88290322    
   1.00999999       1.98117101      -1.89283407    
   1.01499999       1.97168207      -1.90272796    
   1.01999998       1.96214378      -1.91258359    
   1.02499998       1.95255625      -1.92239952    
   1.02999997       1.94291985      -1.93217421    
   1.03499997       1.93323457      -1.94190621    
   1.03999996       1.92350078      -1.95159411    
   1.04499996       1.91371870      -1.96123648    
   1.04999995       1.90388846      -1.97083187    
   1.05499995       1.89401042      -1.98037875    
   1.05999994       1.88408482      -1.98987567    
   1.06500006       1.87411177      -1.99932110    
   1.07000005       1.86409163      -2.00871372    
   1.07500005       1.85402465      -2.01805186    
   1.08000004       1.84391117      -2.02733421    
   1.08500004       1.83375144      -2.03655910    
   1.09000003       1.82354569      -2.04572511    
   1.09500003       1.81329429      -2.05483079    
   1.10000002       1.80299747      -2.06387472    
   1.10500002       1.79265559      -2.07285547    
   1.11000001       1.78226900      -2.08177137    
   1.11500001       1.77183795      -2.09062099    
   1.12000000       1.76136291      -2.09940290    
   1.12500000       1.75084412      -2.10811567    
   1.13000000       1.74028194      -2.11675763    
   1.13499999       1.72967672      -2.12532735    
   1.13999999       1.71902883      -2.13382363    
   1.14499998       1.70833862      -2.14224482    
   1.14999998       1.69760644      -2.15058947    
   1.15499997       1.68683279      -2.15885592    
   1.15999997       1.67601800      -2.16704297    
   1.16499996       1.66516244      -2.17514920    
   1.16999996       1.65426660      -2.18317318    
   1.17499995       1.64333081      -2.19111323    
   1.17999995       1.63235557      -2.19896817    
   1.18499994       1.62134123      -2.20673656    
   1.18999994       1.61028826      -2.21441698    
   1.19500005       1.59919715      -2.22200799    
   1.20000005       1.58806837      -2.22950816    
   1.20500004       1.57690227      -2.23691607    
   1.21000004       1.56569934      -2.24423051    
   1.21500003       1.55446005      -2.25145006    
   1.22000003       1.54318500      -2.25857353    
   1.22500002       1.53187454      -2.26559925    
   1.23000002       1.52052915      -2.27252626    
   1.23500001       1.50914943      -2.27935290    
   1.24000001       1.49773586      -2.28607821    
   1.24500000       1.48628891      -2.29270053    
   1.25000000       1.47480905      -2.29921889    
   1.25500000       1.46329689      -2.30563188    
   1.25999999       1.45175290      -2.31193829    
   1.26499999       1.44017768      -2.31813693    
   1.26999998       1.42857170      -2.32422662    
   1.27499998       1.41693556      -2.33020616    
   1.27999997       1.40526986      -2.33607435    
   1.28499997       1.39357507      -2.34183002    
   1.28999996       1.38185179      -2.34747195    
   1.29499996       1.37010062      -2.35299897    
   1.29999995       1.35832202      -2.35841012    
   1.30499995       1.34651673      -2.36370420    
   1.30999994       1.33468521      -2.36888027    
