     x              y              y-prima
   1.65999997       1.48226619E-02  -3.05647397    
   1.66499996      -4.39184601E-04  -3.04823470    
   1.66999996      -1.56593844E-02  -3.03981566    
   1.67499995      -3.08370423E-02  -3.03121829    
   1.67999995      -4.59712707E-02  -3.02244449    
   1.68499994      -6.10611923E-02  -3.01349616    
   1.68999994      -7.61059374E-02  -3.00437498    
   1.69499993      -9.11046490E-02  -2.99508309    
   1.69999993     -0.106056482      -2.98562217    
   1.70500004     -0.120960593      -2.97599387    
   1.71000004     -0.135816142      -2.96620035    
   1.71500003     -0.150622323      -2.95624352    
   1.72000003     -0.165378317      -2.94612551    
   1.72500002     -0.180083320      -2.93584800    
   1.73000002     -0.194736540      -2.92541313    
   1.73500001     -0.209337190      -2.91482282    
   1.74000001     -0.223884508      -2.90407920    
   1.74500000     -0.238377735      -2.89318419    
   1.75000000     -0.252816111      -2.88213992    
   1.75500000     -0.267198890      -2.87094855    
   1.75999999     -0.281525344      -2.85961199    
   1.76499999     -0.295794755      -2.84813237    
   1.76999998     -0.310006410      -2.83651185    
   1.77499998     -0.324159622      -2.82475257    
   1.77999997     -0.338253707      -2.81285644    
   1.78499997     -0.352287978      -2.80082583    
   1.78999996     -0.366261750      -2.78866267    
   1.79499996     -0.380174398      -2.77636933    
   1.79999995     -0.394025236      -2.76394773    
   1.80499995     -0.407813668      -2.75139999    
   1.80999994     -0.421539038      -2.73872852    
   1.81499994     -0.435200751      -2.72593522    
   1.81999993     -0.448798180      -2.71302223    
   1.82499993     -0.462330759      -2.69999194    
   1.82999992     -0.475797892      -2.68684626    
   1.83500004     -0.489199013      -2.67358756    
   1.84000003     -0.502533555      -2.66021800    
   1.84500003     -0.515801013      -2.64673948    
   1.85000002     -0.529000819      -2.63315439    
   1.85500002     -0.542132437      -2.61946464    
   1.86000001     -0.555195332      -2.60567260    
   1.86500001     -0.568189025      -2.59178042    
   1.87000000     -0.581112981      -2.57779002    
   1.87500000     -0.593966782      -2.56370378    
   1.88000000     -0.606749892      -2.54952359    
   1.88499999     -0.619461894      -2.53525162    
   1.88999999     -0.632102311      -2.52089000    
   1.89499998     -0.644670665      -2.50644088    
   1.89999998     -0.657166541      -2.49190640    
   1.90499997     -0.669589579      -2.47728848    
   1.90999997     -0.681939304      -2.46258926    
   1.91499996     -0.694215357      -2.44781089    
   1.91999996     -0.706417322      -2.43295527    
   1.92499995     -0.718544781      -2.41802454    
   1.92999995     -0.730597436      -2.40302062    
   1.93499994     -0.742574871      -2.38794565    
   1.93999994     -0.754476786      -2.37280154    
   1.94499993     -0.766302764      -2.35759020    
   1.94999993     -0.778052568      -2.34231377    
   1.95499992     -0.789725840      -2.32697392    
   1.96000004     -0.801322222      -2.31157279    
   1.96500003     -0.812841475      -2.29611230    
   1.97000003     -0.824283242      -2.28059435    
   1.97500002     -0.835647285      -2.26502085    
   1.98000002     -0.846933365      -2.24939370    
   1.98500001     -0.858141184      -2.23371482    
   1.99000001     -0.869270444      -2.21798587    
   1.99500000     -0.880320966      -2.20220876    
   2.00000000     -0.891292453      -2.18638515    
   2.00499988     -0.902184725      -2.17051697    
   2.00999999     -0.912997544      -2.15460610    
   2.01499987     -0.923730731      -2.13865399    
   2.01999998     -0.934384048      -2.12266254    
   2.02500010     -0.944957316      -2.10663342    
   2.02999997     -0.955450356      -2.09056854    
   2.03500009     -0.965862989      -2.07446933    
   2.03999996     -0.976195037      -2.05833745    
   2.04500008     -0.986446321      -2.04217458    
   2.04999995     -0.996616721      -2.02598238    
   2.05500007      -1.00670612      -2.00976229    
   2.05999994      -1.01671433      -1.99351597    
   2.06500006      -1.02664125      -1.97724497    
   2.06999993      -1.03648674      -1.96095085    
   2.07500005      -1.04625070      -1.94463503    
   2.07999992      -1.05593300      -1.92829907    
   2.08500004      -1.06553364      -1.91194439    
   2.08999991      -1.07505238      -1.89557242    
   2.09500003      -1.08448923      -1.87918460    
   2.09999990      -1.09384418      -1.86278236    
   2.10500002      -1.10311711      -1.84636700    
   2.10999990      -1.11230791      -1.82993996    
   2.11500001      -1.12141657      -1.81350255    
   2.11999989      -1.13044298      -1.79705608    
   2.12500000      -1.13938713      -1.78060174    
   2.12999988      -1.14824903      -1.76414084    
   2.13499999      -1.15702856      -1.74767470    
   2.13999987      -1.16572571      -1.73120451    
   2.14499998      -1.17434061      -1.71473145    
   2.14999986      -1.18287313      -1.69825673    
   2.15499997      -1.19132328      -1.68178153    
   2.16000009      -1.19969106      -1.66530693    
   2.16499996      -1.20797646      -1.64883411    
   2.17000008      -1.21617949      -1.63236403    
   2.17499995      -1.22430015      -1.61589789    
   2.18000007      -1.23233843      -1.59943676    
   2.18499994      -1.24029446      -1.58298159    
