     x              y              y-prima
   1.00000000       2.00000000      -1.00000000    
   1.00500000       1.99499249      -1.00298440    
   1.00999999       1.98997021      -1.00593734    
   1.01499999       1.98493326      -1.00885844    
   1.01999998       1.97988176      -1.01174724    
   1.02499998       1.97481585      -1.01460326    
   1.02999997       1.96973574      -1.01742613    
   1.03499997       1.96464157      -1.02021539    
   1.03999996       1.95953357      -1.02297056    
   1.04499996       1.95441186      -1.02569127    
   1.04999995       1.94927669      -1.02837706    
   1.05499995       1.94412816      -1.03102744    
   1.05999994       1.93896651      -1.03364205    
   1.06500006       1.93379188      -1.03622043    
   1.07000005       1.92860436      -1.03876209    
   1.07500005       1.92340434      -1.04126668    
   1.08000004       1.91819179      -1.04373372    
   1.08500004       1.91296709      -1.04616284    
   1.09000003       1.90773022      -1.04855359    
   1.09500003       1.90248156      -1.05090547    
   1.10000002       1.89722121      -1.05321813    
   1.10500002       1.89194942      -1.05549121    
   1.11000001       1.88666642      -1.05772412    
   1.11500001       1.88137233      -1.05991662    
   1.12000000       1.87606740      -1.06206810    
   1.12500000       1.87075174      -1.06417835    
   1.13000000       1.86542571      -1.06624675    
   1.13499999       1.86008942      -1.06827307    
   1.13999999       1.85474312      -1.07025683    
   1.14499998       1.84938693      -1.07219756    
   1.14999998       1.84402120      -1.07409489    
   1.15499997       1.83864605      -1.07594848    
   1.15999997       1.83326173      -1.07775784    
   1.16499996       1.82786846      -1.07952261    
   1.16999996       1.82246649      -1.08124232    
   1.17499995       1.81705606      -1.08291674    
   1.17999995       1.81163740      -1.08454525    
   1.18499994       1.80621076      -1.08612764    
   1.18999994       1.80077624      -1.08766341    
   1.19500005       1.79533422      -1.08915234    
   1.20000005       1.78988481      -1.09059381    
   1.20500004       1.78442836      -1.09198761    
   1.21000004       1.77896500      -1.09333336    
   1.21500003       1.77349508      -1.09463060    
   1.22000003       1.76801884      -1.09587908    
   1.22500002       1.76253641      -1.09707832    
   1.23000002       1.75704813      -1.09822798    
   1.23500001       1.75155425      -1.09932768    
   1.24000001       1.74605501      -1.10037708    
   1.24500000       1.74055064      -1.10137582    
   1.25000000       1.73504138      -1.10232365    
   1.25500000       1.72952747      -1.10322011    
   1.25999999       1.72400928      -1.10406482    
   1.26499999       1.71848691      -1.10485756    
   1.26999998       1.71296072      -1.10559785    
   1.27499998       1.70743096      -1.10628545    
   1.27999997       1.70189798      -1.10692000    
   1.28499997       1.69636190      -1.10750127    
   1.28999996       1.69082308      -1.10802889    
   1.29499996       1.68528175      -1.10850251    
   1.29999995       1.67973816      -1.10892177    
   1.30499995       1.67419267      -1.10928643    
   1.30999994       1.66864538      -1.10959613    
   1.31499994       1.66309679      -1.10985053    
   1.31999993       1.65754700      -1.11004949    
   1.32500005       1.65199637      -1.11019254    
   1.33000004       1.64644516      -1.11027956    
   1.33500004       1.64089370      -1.11031008    
   1.34000003       1.63534224      -1.11028397    
   1.34500003       1.62979102      -1.11020088    
   1.35000002       1.62424040      -1.11006057    
   1.35500002       1.61869061      -1.10986269    
   1.36000001       1.61314189      -1.10960710    
   1.36500001       1.60759461      -1.10929346    
   1.37000000       1.60204899      -1.10892153    
   1.37500000       1.59650540      -1.10849106    
   1.38000000       1.59096420      -1.10800183    
   1.38499999       1.58542550      -1.10745358    
   1.38999999       1.57988977      -1.10684609    
   1.39499998       1.57435715      -1.10617912    
   1.39999998       1.56882811      -1.10545242    
   1.40499997       1.56330276      -1.10466576    
   1.40999997       1.55778158      -1.10381889    
   1.41499996       1.55226469      -1.10291171    
   1.41999996       1.54675257      -1.10194397    
   1.42499995       1.54124534      -1.10091543    
   1.42999995       1.53574347      -1.09982586    
   1.43499994       1.53024721      -1.09867513    
   1.43999994       1.52475679      -1.09746301    
   1.44499993       1.51927269      -1.09618938    
   1.45000005       1.51379502      -1.09485400    
   1.45500004       1.50832427      -1.09345675    
   1.46000004       1.50286055      -1.09199739    
   1.46500003       1.49740434      -1.09047580    
   1.47000003       1.49195588      -1.08889186    
   1.47500002       1.48651552      -1.08724535    
   1.48000002       1.48108351      -1.08553612    
   1.48500001       1.47566020      -1.08376408    
   1.49000001       1.47024596      -1.08192897    
   1.49500000       1.46484101      -1.08003080    
   1.50000000       1.45944571      -1.07806933    
   1.50500000       1.45406044      -1.07604444    
   1.50999999       1.44868541      -1.07395601    
   1.51499999       1.44332099      -1.07180405    
   1.51999998       1.43796754      -1.06958830    
   1.52499998       1.43262529      -1.06730866    
   1.52999997       1.42729461      -1.06496513    
   1.53499997       1.42197573      -1.06255758    
   1.53999996       1.41666913      -1.06008589    
   1.54499996       1.41137505      -1.05754995    
   1.54999995       1.40609372      -1.05494976    
   1.55499995       1.40082562      -1.05228519    
   1.55999994       1.39557099      -1.04955614    
   1.56499994       1.39033020      -1.04676259    
   1.56999993       1.38510346      -1.04390442    
   1.57499993       1.37989128      -1.04098153    
   1.58000004       1.37469387      -1.03799403    
   1.58500004       1.36951149      -1.03494167    
   1.59000003       1.36434460      -1.03182459    
   1.59500003       1.35919344      -1.02864265    
   1.60000002       1.35405827      -1.02539587    
   1.60500002       1.34893954      -1.02208412    
   1.61000001       1.34383750      -1.01870739    
   1.61500001       1.33875251      -1.01526570    
   1.62000000       1.33368492      -1.01175904    
   1.62500000       1.32863498      -1.00818741    
   1.63000000       1.32360315      -1.00455081    
   1.63499999       1.31858957      -1.00084913    
   1.63999999       1.31359470     -0.997082412    
   1.64499998       1.30861878     -0.993250728    
   1.64999998       1.30366230     -0.989354014    
   1.65499997       1.29872537     -0.985392272    
   1.65999997       1.29380846     -0.981365561    
   1.66499996       1.28891182     -0.977273881    
   1.66999996       1.28403580     -0.973117232    
   1.67499995       1.27918077     -0.968895674    
   1.67999995       1.27434695     -0.964609206    
   1.68499994       1.26953471     -0.960257888    
   1.68999994       1.26474440     -0.955841720    
   1.69499993       1.25997639     -0.951360762    
   1.69999993       1.25523090     -0.946815073    
   1.70500004       1.25050831     -0.942204714    
   1.71000004       1.24580896     -0.937529683    
   1.71500003       1.24113309     -0.932790041    
   1.72000003       1.23648107     -0.927985907    
   1.72500002       1.23185325     -0.923117280    
   1.73000002       1.22724998     -0.918184221    
