     x              y              y-prima
   1.00000000       2.00000000      -2.01738882    
   1.00500000       1.98988521      -2.02850890    
   1.00999999       1.97971499      -2.03958988    
   1.01499999       1.96948946      -2.05063009    
   1.01999998       1.95920885      -2.06162786    
   1.02499998       1.94887328      -2.07258129    
   1.02999997       1.93848312      -2.08348894    
   1.03499997       1.92803848      -2.09434891    
   1.03999996       1.91753972      -2.10515952    
   1.04499996       1.90698695      -2.11591911    
   1.04999995       1.89638054      -2.12662601    
   1.05499995       1.88572073      -2.13727832    
   1.05999994       1.87500787      -2.14787459    
   1.06500006       1.86424208      -2.15841293    
   1.07000005       1.85342383      -2.16889143    
   1.07500005       1.84255326      -2.17930841    
   1.08000004       1.83163083      -2.18966246    
   1.08500004       1.82065678      -2.19995141    
   1.09000003       1.80963147      -2.21017385    
   1.09500003       1.79855514      -2.22032785    
   1.10000002       1.78742826      -2.23041153    
   1.10500002       1.77625120      -2.24042344    
   1.11000001       1.76502419      -2.25036168    
   1.11500001       1.75374770      -2.26022458    
   1.12000000       1.74242210      -2.27001023    
   1.12500000       1.73104775      -2.27971721    
   1.13000000       1.71962512      -2.28934360    
   1.13499999       1.70815456      -2.29888773    
   1.13999999       1.69663644      -2.30834770    
   1.14499998       1.68507123      -2.31772184    
   1.14999998       1.67345941      -2.32700872    
   1.15499997       1.66180134      -2.33620644    
   1.15999997       1.65009749      -2.34531331    
   1.16499996       1.63834834      -2.35432744    
   1.16999996       1.62655437      -2.36324739    
   1.17499995       1.61471605      -2.37207150    
   1.17999995       1.60283387      -2.38079810    
   1.18499994       1.59090829      -2.38942552    
   1.18999994       1.57893980      -2.39795208    
   1.19500005       1.56692898      -2.40637612    
   1.20000005       1.55487621      -2.41469598    
   1.20500004       1.54278219      -2.42291021    
   1.21000004       1.53064728      -2.43101716    
   1.21500003       1.51847219      -2.43901515    
   1.22000003       1.50625730      -2.44690275    
   1.22500002       1.49400330      -2.45467830    
   1.23000002       1.48171067      -2.46234035    
