 z
  0.109949999    
  0.209900007    
  0.309850007    
  0.409799993    
  0.509750009    
  0.609700024    
  0.709649980    
  0.809599996    
  0.909550011    
   1.00950003    
   1.10944998    
   1.20940006    
   1.30935001    
   1.40929997    
   1.50925004    
   1.60920000    
   1.70914996    
   1.80910003    
   1.90904999    
   2.00900006    
   2.10894990    
   2.20889997    
   2.30885005    
   2.40880013    
   2.50874996    
   2.60870004    
   2.70865011    
   2.80859995    
   2.90855002    
   3.00850010    
   3.10844994    
   3.20840001    
   3.30835009    
   3.40829992    
   3.50825000    
   3.60820007    
   3.70814991    
   3.80809999    
   3.90805006    
   4.00799990    
   4.10795021    
   4.20790005    
   4.30784988    
   4.40780020    
   4.50775003    
   4.60769987    
   4.70765018    
   4.80760002    
   4.90754986    
   5.00750017    
   5.10745001    
   5.20739985    
   5.30735016    
   5.40730000    
   5.50724983    
   5.60720015    
   5.70714998    
   5.80709982    
   5.90705013    
   6.00699997    
   6.10694981    
   6.20690012    
   6.30684996    
   6.40680027    
   6.50675011    
   6.60669994    
   6.70665026    
   6.80660009    
   6.90654993    
   7.00650024    
   7.10645008    
   7.20639992    
   7.30635023    
   7.40630007    
   7.50624990    
   7.60620022    
   7.70615005    
   7.80609989    
   7.90605021    
   8.00600052    
   8.10595036    
   8.20590019    
   8.30585003    
   8.40579987    
   8.50574970    
   8.60570049    
   8.70565033    
   8.80560017    
   8.90555000    
   9.00549984    
   9.10544968    
   9.20540047    
   9.30535030    
   9.40530014    
   9.50524998    
   9.60519981    
   9.70514965    
   9.80510044    
   9.90505028    
   10.0050001    
   10.1049500    
   10.2048998    
   10.3048496    
   10.4048004    
   10.5047503    
   10.6047001    
   10.7046499    
   10.8045998    
   10.9045496    
   11.0045004    
   11.1044502    
   11.2044001    
   11.3043499    
   11.4042997    
   11.5042505    
   11.6042004    
   11.7041502    
   11.8041000    
   11.9040499    
   12.0039997    
   12.1039505    
   12.2039003    
   12.3038502    
   12.4038000    
   12.5037498    
   12.6036997    
   12.7036505    
   12.8036003    
   12.9035501    
   13.0035000    
   13.1034498    
   13.2033997    
   13.3033504    
   13.4033003    
   13.5032501    
   13.6032000    
   13.7031498    
   13.8030996    
   13.9030504    
   14.0030003    
   14.1029501    
   14.2028999    
   14.3028498    
   14.4028006    
   14.5027504    
   14.6027002    
   14.7026501    
   14.8025999    
   14.9025497    
   15.0025005    
   15.1024504    
   15.2024002    
   15.3023500    
   15.4022999    
   15.5022497    
   15.6022005    
   15.7021503    
   15.8021002    
   15.9020500    
   16.0020008    
   16.1019497    
   16.2019005    
   16.3018494    
   16.4018002    
   16.5017509    
   16.6016998    
   16.7016506    
   16.8015995    
   16.9015503    
   17.0014992    
   17.1014500    
   17.2014008    
   17.3013496    
   17.4013004    
   17.5012493    
   17.6012001    
   17.7011509    
   17.8010998    
   17.9010506    
   18.0009995    
   18.1009502    
   18.2009010    
   18.3008499    
   18.4008007    
   18.5007496    
   18.6007004    
   18.7006493    
   18.8006001    
   18.9005508    
   19.0004997    
   19.1004505    
   19.2003994    
   19.3003502    
   19.4003010    
   19.5002499    
   19.6002007    
   19.7001495    
   19.8001003    
   19.9000492    
   20.0000000    
