 x   y1   y2   y3 
   52.8000031       3.11543122E-02   2.41573458E-03   1.00037537E-03
   53.4000015       3.30285355E-02   2.25315755E-03   9.13862663E-04
   54.0000038       3.50136049E-02   2.10181624E-03   8.35411600E-04
   54.6000023       3.71157192E-02   1.96093111E-03   7.64257100E-04
   55.2000008       3.93413864E-02   1.82977691E-03   6.99707773E-04
   55.8000031       4.16974314E-02   1.70767866E-03   6.41138700E-04
   56.4000015       4.41910028E-02   1.59400841E-03   5.87985036E-04
   57.0000038       4.68295813E-02   1.48818165E-03   5.39736357E-04
   57.6000023       4.96209934E-02   1.38965459E-03   4.95931192E-04
   58.2000008       5.25734201E-02   1.29792118E-03   4.56152542E-04
   58.8000031       5.56953922E-02   1.21251051E-03   4.20023425E-04
   59.4000015       5.89958057E-02   1.13298441E-03   3.87203123E-04
   60.0000038       6.24839216E-02   1.05893507E-03   3.57383717E-04
   60.6000023       6.61693737E-02   9.89983208E-04   3.30286886E-04
   61.2000008       7.00621679E-02   9.25775617E-04   3.05661088E-04
   61.8000031       7.41726682E-02   8.65983893E-04   2.83279078E-04
   62.4000015       7.85116181E-02   8.10302270E-04   2.62935500E-04
   63.0000038       8.30901042E-02   7.58446287E-04   2.44444847E-04
   63.6000023       8.79195705E-02   7.10151333E-04   2.27639626E-04
   64.2000046       9.30117965E-02   6.65171072E-04   2.12368584E-04
   64.8000031       9.83788818E-02   6.23276399E-04   1.98495269E-04
   65.4000015      0.104033217       5.84254041E-04   1.85896613E-04
   66.0000000      0.109987475       5.47905569E-04   1.74461704E-04
   66.6000061      0.116254561       5.14046464E-04   1.64090685E-04
   67.2000046      0.122847602       4.82504896E-04   1.54693800E-04
   67.8000031      0.129779875       4.53121087E-04   1.46190461E-04
   68.4000015      0.137064785       4.25746315E-04   1.38508476E-04
   69.0000000      0.144715801       4.00242279E-04   1.31583394E-04
   69.6000061      0.152746394       3.76480253E-04   1.25357852E-04
   70.2000046      0.161169961       3.54340504E-04   1.19781042E-04
   70.8000031      0.169999778       3.33711650E-04   1.14808281E-04
   71.4000015      0.179248899       3.14490055E-04   1.10400608E-04
   72.0000000      0.188930035       2.96579325E-04   1.06524465E-04
   72.6000061      0.199055523       2.79889791E-04   1.03151477E-04
   73.2000046      0.209637165       2.64338014E-04   1.00258258E-04
   73.8000031      0.220686153       2.49846460E-04   9.78262979E-05
   74.4000015      0.232212901       2.36342938E-04   9.58419769E-05
   75.0000000      0.244226977       2.23760362E-04   9.42966071E-05
   75.6000061      0.256736934       2.12036335E-04   9.31865798E-05
   76.2000046      0.269750208       2.01112824E-04   9.25136483E-05
   76.8000031      0.283272922       1.90935883E-04   9.22853142E-05
   77.4000015      0.297309816       1.81455369E-04   9.25153363E-05
   78.0000000      0.311864048       1.72624656E-04   9.32244657E-05
   78.6000061      0.326937109       1.64400408E-04   9.44413332E-05
   79.2000046      0.342528671       1.56742361E-04   9.62036356E-05
   79.8000031      0.358636409       1.49613101E-04   9.85595980E-05
   80.4000015      0.375255942       1.42977864E-04   1.01569858E-04
   81.0000000      0.392380685       1.36804374E-04   1.05309795E-04
   81.6000061      0.410001785       1.31062654E-04   1.09872497E-04
   82.2000046      0.428108037       1.25724880E-04   1.15372495E-04
   82.8000031      0.446685761       1.20765209E-04   1.21950470E-04
   83.4000015      0.465718836       1.16159681E-04   1.29779190E-04
   84.0000000      0.485188603       1.11886075E-04   1.39071053E-04
   84.6000061      0.505073965       1.07923785E-04   1.50087755E-04
   85.2000046      0.525351286       1.04253704E-04   1.63152494E-04
   85.8000031      0.545994580       1.00858153E-04   1.78665796E-04
   86.4000015      0.566975474       9.77207528E-05   1.97125759E-04
   87.0000000      0.588263333       9.48263551E-05   2.19154303E-04
   87.6000061      0.609825492       9.21609462E-05   2.45531235E-04
   88.2000046      0.631627202       8.97115824E-05   2.77238694E-04
   88.8000031      0.653632045       8.74663092E-05   3.15519253E-04
   89.4000015      0.675801873       8.54141035E-05   3.61952523E-04
   90.0000000      0.698097169       8.35448081E-05   4.18556243E-04
   90.6000061      0.720477223       8.18490735E-05   4.87920333E-04
   91.2000046      0.742900133       8.03182993E-05   5.73385681E-04
   91.8000031      0.765323162       7.89445839E-05   6.79283403E-04
   92.4000015      0.787702799       7.77206806E-05   8.11256119E-04
   93.0000000      0.809994817       7.66399462E-05   9.76691721E-04
   93.6000061      0.832154214       7.56963054E-05   1.18531124E-03
   94.2000046      0.854135215       7.48841994E-05   1.44996750E-03
   94.8000031      0.875890851       7.41985350E-05   1.78773678E-03
   95.4000015      0.897372484       7.36346483E-05   2.22141296E-03
   96.0000000      0.918529093       7.31882610E-05   2.78156111E-03
   96.6000061      0.939305961       7.28554223E-05   3.50934779E-03
   97.2000046      0.959643066       7.26324433E-05   4.46045026E-03
   97.8000031      0.979472339       7.25158316E-05   5.71046583E-03
   98.4000015      0.998714268       7.25022037E-05   7.36240018E-03
   99.0000076       1.01727283       7.25881546E-05   9.55703668E-03
   99.6000061       1.03502858       7.27701336E-05   1.24872606E-02
   100.200005       1.05182874       7.30442116E-05   1.64177734E-02
   100.800003       1.06747425       7.34058267E-05   2.17120200E-02
   101.400002       1.08170164       7.38494055E-05   2.88685486E-02
   102.000008       1.09415901       7.43678538E-05   3.85691933E-02
   102.600006       1.10437477       7.49518513E-05   5.17410599E-02
   103.200005       1.11171889       7.55889341E-05   6.96324930E-02
   103.800003       1.11535692       7.62622658E-05   9.38986465E-02
   104.400002       1.11420286       7.69491089E-05  0.126682580    
   105.000008       1.10688317       7.76189772E-05  0.170660153    
   105.600006       1.09173632       7.82317002E-05  0.228989169    
   106.200005       1.06688786       7.87357931E-05  0.305068314    
   106.800003       1.03045511       7.90679042E-05  0.401987910    
   107.400002      0.980926156       7.91545899E-05  0.521585226    
   108.000008      0.917704105       7.89176775E-05  0.663168490    
   108.600006      0.841687560       7.82839343E-05  0.822271585    
