 x   y1   y2   y3   y4
   0.00000000       1.00000000       0.00000000       0.00000000       0.00000000    
   9.99999978E-03   1.00000000      -7.87517251E-09  -4.90499951E-04  -9.80999991E-02
   1.99999996E-02   1.00000000      -1.05252617E-07  -1.96199981E-03 -0.196199998    
   2.99999993E-02   1.00000000      -7.39639120E-07  -4.41449974E-03 -0.294299990    
   3.99999991E-02   1.00000000      -3.07450500E-06  -7.84799922E-03 -0.392399967    
   4.99999970E-02  0.999999940      -9.34581294E-06  -1.22624980E-02 -0.490499884    
   5.99999987E-02  0.999999762      -2.32081220E-05  -1.76579952E-02 -0.588599682    
   7.00000003E-02  0.999999404      -5.00979077E-05  -2.40344889E-02 -0.686699092    
   7.99999982E-02  0.999998689      -9.75797302E-05  -3.13919745E-02 -0.784797788    
   8.99999961E-02  0.999997377      -1.75678477E-04  -3.97304408E-02 -0.882894993    
   9.99999940E-02  0.999995053      -2.97216437E-04  -4.90498655E-02 -0.980989575    
  0.109999999      0.999991238      -4.78126283E-04  -5.93502149E-02  -1.07907975    
  0.119999997      0.999985218      -7.37754686E-04  -7.06314370E-02  -1.17716277    
  0.129999995      0.999976158      -1.09913747E-03  -8.28934386E-02  -1.27523494    
  0.140000001      0.999962807      -1.58926856E-03  -9.61360857E-02  -1.37329090    
  0.149999991      0.999943793      -2.23928737E-03 -0.110359184      -1.47132361    
  0.159999996      0.999917328      -3.08468123E-03 -0.125562444      -1.56932366    
  0.170000002      0.999881268      -4.16540308E-03 -0.141745508      -1.66727901    
  0.179999992      0.999833047      -5.52594755E-03 -0.158907831      -1.76517415    
  0.189999998      0.999769628      -7.21534435E-03 -0.177048728      -1.86298990    
  0.199999988      0.999687433      -9.28710401E-03 -0.196167290      -1.96070266    
  0.209999993      0.999582410      -1.17990598E-02 -0.216262341      -2.05828381    
  0.219999999      0.999449790      -1.48131438E-02 -0.237332404      -2.15569925    
  0.229999989      0.999284267      -1.83950495E-02 -0.259375632      -2.25290823    
  0.239999995      0.999079764      -2.26138253E-02 -0.282389730      -2.34986353    
  0.250000000      0.998829603      -2.75413524E-02 -0.306371868      -2.44651031    
  0.259999990      0.998526335      -3.32517587E-02 -0.331318676      -2.54278588    
  0.269999981      0.998161733      -3.98207307E-02 -0.357226104      -2.63861918    
  0.280000001      0.997726798      -4.73247468E-02 -0.384089321      -2.73393035    
